step,elapsed_sec,sec_per_step,lr,loss
1,28,28.33,1.0e-04,1.397e-01
2,37,18.52,1.0e-04,6.706e-01
3,46,15.35,1.0e-04,9.708e-01
4,55,13.77,1.0e-04,1.084e+00
5,64,12.84,1.0e-04,1.652e+00
6,73,12.22,1.0e-04,7.636e-01
7,82,11.78,1.0e-04,9.452e-01
8,91,11.44,1.0e-04,7.416e-01
9,100,11.21,1.0e-04,3.592e-01
10,110,11.07,1.0e-04,3.370e-01
11,119,10.89,1.0e-04,5.056e-01
12,129,10.76,1.0e-04,8.338e-01
13,138,10.63,1.0e-04,4.266e-01
14,147,10.51,1.0e-04,7.818e-01
15,156,10.42,1.0e-04,3.512e-01
16,165,10.35,1.0e-04,1.270e-01
17,175,10.30,1.0e-04,3.620e-01
18,183,10.21,1.0e-04,2.201e-01
19,192,10.15,1.0e-04,3.052e-01
20,202,10.10,1.0e-04,2.552e-01
21,210,10.03,1.0e-04,2.629e-01
22,219,10.00,1.0e-04,4.106e-01
23,228,9.95,1.0e-04,4.093e-01
24,237,9.91,1.0e-04,3.437e-01
25,247,9.89,1.0e-04,1.133e-01
26,256,9.85,1.0e-04,5.706e-01
27,264,9.80,1.0e-04,3.706e-01
28,273,9.77,1.0e-04,6.313e-01
29,282,9.73,1.0e-04,5.918e-01
30,291,9.70,1.0e-04,2.391e-01
31,299,9.67,1.0e-04,5.716e-01
32,308,9.65,1.0e-04,6.121e-01
33,318,9.64,1.0e-04,4.438e-01
34,326,9.61,1.0e-04,2.260e-01
35,335,9.59,1.0e-04,5.229e-01
36,344,9.58,1.0e-04,3.682e-01
37,353,9.56,1.0e-04,5.279e-01
38,362,9.54,1.0e-04,5.720e-01
39,371,9.53,1.0e-04,3.936e-01
40,380,9.50,1.0e-04,4.525e-01
41,389,9.50,1.0e-04,5.713e-01
42,398,9.49,1.0e-04,2.989e-01
43,407,9.47,1.0e-04,5.103e-01
44,416,9.47,1.0e-04,4.911e-01
45,425,9.46,1.0e-04,5.066e-01
46,434,9.45,1.0e-04,5.374e-01
47,444,9.45,1.0e-04,2.894e-01
48,453,9.44,1.0e-04,5.711e-01
49,461,9.42,1.0e-04,5.325e-01
50,470,9.41,1.0e-04,5.038e-01
51,479,9.40,1.0e-04,5.710e-01
52,487,9.38,1.0e-04,5.238e-01
53,496,9.38,1.0e-04,4.543e-01
54,505,9.37,1.0e-04,4.567e-01
55,515,9.37,1.0e-04,1.379e-01
56,524,9.36,1.0e-04,6.075e-01
57,532,9.35,1.0e-04,1.159e-01
58,542,9.35,1.0e-04,4.993e-01
59,550,9.34,1.0e-04,4.322e-01
60,560,9.33,1.0e-04,4.673e-01
61,569,9.33,1.0e-04,4.540e-01
62,577,9.32,1.0e-04,4.462e-01
63,586,9.31,1.0e-04,3.244e-01
64,595,9.30,1.0e-04,2.993e-01
65,604,9.30,1.0e-04,3.277e-01
66,613,9.30,1.0e-04,5.795e-01
67,622,9.29,1.0e-04,2.009e-01
68,631,9.29,1.0e-04,5.632e-01
69,640,9.29,1.0e-04,4.734e-01
70,649,9.27,1.0e-04,1.907e-01
71,658,9.27,1.0e-04,4.144e-01
72,666,9.26,1.0e-04,4.521e-01
73,676,9.26,1.0e-04,1.098e-01
74,685,9.26,1.0e-04,1.510e-01
75,694,9.26,1.0e-04,3.128e-01
76,703,9.25,1.0e-04,4.896e-01
77,712,9.25,1.0e-04,4.975e-01
78,721,9.25,1.0e-04,1.490e-01
79,729,9.24,1.0e-04,4.925e-01
80,738,9.24,1.0e-04,4.128e-01
81,747,9.23,1.0e-04,1.678e-01
82,756,9.22,1.0e-04,4.080e-01
83,764,9.21,1.0e-04,5.558e-01
84,773,9.21,1.0e-04,4.322e-01
85,782,9.21,1.0e-04,4.104e-01
86,791,9.21,1.0e-04,3.004e-01
87,800,9.20,1.0e-04,3.317e-01
88,809,9.19,1.0e-04,1.563e-01
89,818,9.20,1.0e-04,3.047e-01
90,827,9.19,1.0e-04,1.614e-01
91,836,9.19,1.0e-04,4.033e-01
92,845,9.19,1.0e-04,1.662e-01
93,854,9.19,1.0e-04,3.284e-01
94,863,9.19,1.0e-04,1.655e-01
95,872,9.18,1.0e-04,1.678e-01
96,881,9.19,1.0e-04,3.738e-01
97,890,9.19,1.0e-04,4.415e-01
98,899,9.18,1.0e-04,2.633e-01
99,908,9.17,1.0e-04,2.203e-01
100,917,9.17,1.0e-04,5.634e-01
101,925,9.17,1.0e-04,2.949e-01
102,934,9.16,1.0e-04,3.624e-01
103,943,9.16,1.0e-04,4.132e-01
104,953,9.16,1.0e-04,3.131e-01
105,961,9.16,1.0e-04,1.595e-01
106,970,9.16,1.0e-04,3.438e-01
107,979,9.16,1.0e-04,1.707e-01
108,988,9.15,1.0e-04,4.863e-01
109,997,9.15,1.0e-04,4.364e-01
110,1006,9.15,1.0e-04,2.728e-01
111,1015,9.15,1.0e-04,2.160e-01
112,1024,9.15,1.0e-04,3.711e-01
113,1033,9.14,1.0e-04,4.124e-01
114,1042,9.14,1.0e-04,4.054e-01
115,1050,9.14,1.0e-04,4.568e-01
116,1059,9.13,1.0e-04,1.941e-01
117,1068,9.13,1.0e-04,5.280e-01
118,1077,9.13,1.0e-04,3.468e-01
119,1085,9.12,1.0e-04,3.374e-01
120,1094,9.12,1.0e-04,6.718e-01
121,1103,9.12,1.0e-04,3.207e-01
122,1113,9.12,1.0e-04,1.611e-01
123,1121,9.12,1.0e-04,4.344e-01
124,1130,9.12,1.0e-04,4.042e-01
125,1139,9.12,1.0e-04,3.604e-01
126,1148,9.12,1.0e-04,3.201e-01
127,1157,9.12,1.0e-04,3.845e-01
128,1166,9.12,1.0e-04,1.605e-01
129,1176,9.12,1.0e-04,3.744e-01
130,1184,9.12,1.0e-04,2.295e-01
131,1194,9.12,1.0e-04,3.287e-01
132,1202,9.11,1.0e-04,1.553e-01
133,1211,9.11,1.0e-04,2.115e-01
134,1221,9.12,1.0e-04,4.529e-01
135,1230,9.12,1.0e-04,1.964e-01
136,1238,9.11,1.0e-04,4.536e-01
137,1247,9.11,1.0e-04,4.024e-01
138,1256,9.11,1.0e-04,4.243e-01
139,1266,9.11,1.0e-04,1.620e-01
140,1275,9.11,1.0e-04,2.576e-01
141,1284,9.11,1.0e-04,1.379e-01
142,1293,9.11,1.0e-04,1.356e-01
143,1302,9.11,1.0e-04,2.982e-01
144,1312,9.11,1.0e-04,4.091e-01
145,1321,9.12,1.0e-04,2.794e-01
146,1331,9.12,1.0e-04,1.177e-01
147,1339,9.11,1.0e-04,3.545e-01
148,1349,9.12,1.0e-04,4.647e-01
149,1358,9.12,1.0e-04,4.876e-01
150,1367,9.12,1.0e-04,1.566e-01
151,1376,9.12,1.0e-04,3.618e-01
152,1384,9.11,1.0e-04,2.763e-01
153,1393,9.11,1.0e-04,2.858e-01
154,1402,9.11,1.0e-04,3.035e-01
155,1411,9.11,1.0e-04,1.903e-01
156,1421,9.11,1.0e-04,4.002e-01
157,1430,9.11,1.0e-04,4.686e-01
158,1439,9.11,1.0e-04,1.694e-01
159,1448,9.11,1.0e-04,2.702e-01
160,1457,9.11,1.0e-04,3.692e-01
161,1466,9.11,1.0e-04,3.322e-01
162,1475,9.11,1.0e-04,3.713e-01
163,1484,9.11,1.0e-04,4.492e-01
164,1493,9.10,1.0e-04,1.836e-01
165,1502,9.11,1.0e-04,1.801e-01
166,1511,9.11,1.0e-04,3.363e-01
167,1520,9.11,1.0e-04,2.536e-01
168,1529,9.11,1.0e-04,2.091e-01
169,1538,9.10,1.0e-04,3.790e-01
170,1547,9.10,1.0e-04,1.976e-01
171,1556,9.10,1.0e-04,5.039e-01
172,1565,9.10,1.0e-04,4.405e-01
173,1574,9.10,1.0e-04,4.043e-01
174,1583,9.10,1.0e-04,1.873e-01
175,1592,9.10,1.0e-04,4.553e-01
176,1600,9.10,1.0e-04,2.888e-01
177,1610,9.10,1.0e-04,1.615e-01
178,1619,9.10,1.0e-04,3.756e-01
179,1628,9.10,1.0e-04,2.920e-01
180,1637,9.10,1.0e-04,4.893e-01
181,1646,9.10,1.0e-04,2.015e-01
182,1655,9.09,1.0e-04,1.763e-01
183,1663,9.09,1.0e-04,3.925e-01
184,1672,9.09,1.0e-04,4.820e-01
